Category,Message,TokenizedMessage,ProcessedMessage
"ham","Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",""Go","until","jurong","point,","crazy..","Available","only","in","bugis","n","great","world","la","e","buffet...","Cine","there","got","amore","wat..."","Go jurong point, crazy.. Avail bugi n great world la buffet... Cin got amor wat..."
"ham","Ok lar... Joking wif u oni...","Ok,lar...,Joking,wif,u,oni...","Ok lar... Jok wif u oni..."
"spam","Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's","Free,entry,in,2,a,wkly,comp,to,win,FA,Cup,final,tkts,21st,May,2005.,Text,FA,to,87121,to,receive,entry,question(std,txt,rate)T&C's,apply,08452810075over18's","Fr entry 2 wk comp win FA Cup fin tkt 21st May 2005. Text FA 87121 ceiv entry question(std txt rate)T&C' app 08452810075over18'"
"ham","U dun say so early hor... U c already then say...","U,dun,say,so,early,hor...,U,c,already,then,say...","U dun say ear hor... U c already say..."
"ham","Nah I don't think he goes to usf, he lives around here though",""Nah","I","don't","think","he","goes","to","usf,","he","lives","around","here","though"","Nah I think go usf, liv around though"
"spam","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",""FreeMsg","Hey","there","darling","it's","been","3","week's","now","and","no","word","back!","I'd","like","some","fun","you","up","for","it","still?","Tb","ok!","XxX","std","chgs","to","send,","£1.50","to","rcv"","FreeMsg Hey darl 3 week' word back! I'd lik fun still? Tb ok! XxX std chg send, £1.50 rcv"
"ham","Even my brother is not like to speak with me. They treat me like aids patent.","Even,my,brother,is,not,like,to,speak,with,me.,They,treat,me,like,aids,patent.","Even broth lik speak me. They treat lik aid patent."
"ham","As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune","As,per,your,request,'Melle,Melle,(Oru,Minnaminunginte,Nurungu,Vettam)',has,been,set,as,your,callertune,for,all,Callers.,Press,*9,to,copy,your,friends,Callertune","A p qu 'Mell Mell (Oru Minnaminungint Nurungu Vettam)' set callertun Callers. Pr *9 copy friend Callertun"
"spam","WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.","WINNER!!,As,a,valued,network,customer,you,have,been,selected,to,receivea,£900,prize,reward!,To,claim,call,09061701461.,Claim,code,KL341.,Valid,12,hours,only.","WINNER!! A valu network custom select ceivea £900 pr ward! To claim call 09061701461. Claim cod KL341. Valid 12 hour only."
"spam","Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030","Had,your,mobile,11,months,or,more?,U,R,entitled,to,Update,to,the,latest,colour,mobiles,with,camera,for,Free!,Call,The,Mobile,Update,Co,FREE,on,08002986030","Had mobil 11 month more? U R entitl Updat lat colour mobil camera Free! Call Th Mobil Updat Co FREE 08002986030"
"ham","I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",""I'm","gonna","be","home","soon","and","i","don't","want","to","talk","about","this","stuff","anymore","tonight,","k?","I've","cried","enough","today."","I'm gonna hom soon want talk stuff anymor tonight, k? I'v cri enough today."
"spam","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",""SIX","chances","to","win","CASH!","From","100","to","20,000","pounds","txt>","CSH11","and","send","to","87575.","Cost","150p/day,","6days,","16+","TsandCs","apply","Reply","HL","4","info"","SIX chanc win CASH! From 100 20,000 pound txt> CSH11 send 87575. Cost 150p/day, 6days, 16+ TsandC app Rep HL 4 info"
"spam","URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",""URGENT!","You","have","won","a","1","week","FREE","membership","in","our","£100,000","Prize","Jackpot!","Txt","the","word:","CLAIM","to","No:","81010","T&C","www.dbuk.net","LCCLTD","POBOX","4403LDNW1A7RW18"","URGENT! You 1 week FREE membership £100,000 Pr Jackpot! Txt word: CLAIM No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
"ham","I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.","I've,been,searching,for,the,right,words,to,thank,you,for,this,breather.,I,promise,i,wont,take,your,help,for,granted,and,will,fulfil,my,promise.,You,have,been,wonderful,and,a,blessing,at,all,times.","I'v search right word thank breather. I prom wont tak help grant fulfil promise. You wond bl times."
"ham","I HAVE A DATE ON SUNDAY WITH WILL!!","I,HAVE,A,DATE,ON,SUNDAY,WITH,WILL!!","I HAVE A DATE ON SUNDAY WITH WILL!!"
"spam","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",""XXXMobileMovieClub:","To","use","your","credit,","click","the","WAP","link","in","the","next","txt","message","or","click","here>>","http://wap.","xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"","XXXMobileMovieClub: To u credit, click WAP link next txt messag click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
"ham","Oh k...i'm watching here:)","Oh,k...i'm,watching,here:)","Oh k...i'm watch here:)"
"ham","Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.","Eh,u,remember,how,2,spell,his,name...,Yes,i,did.,He,v,naughty,make,until,i,v,wet.","Eh u memb 2 spell name... Y did. H v naughty mak v wet."
"ham","Fine if thats the way u feel. Thats the way its gota b","Fine,if,thats,the,way,u,feel.,Thats,the,way,its,gota,b","Fin that way u feel. That way gota b"
"spam","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",""England","v","Macedonia","-","dont","miss","the","goals/team","news.","Txt","ur","national","team","to","87077","eg","ENGLAND","to","87077","Try:WALES,","SCOTLAND","4txt/ú1.20","POBOXox36504W45WQ","16+"","England v Macedonia - dont goals/team news. Txt ur na team 87077 eg ENGLAND 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
"ham","Is that seriously how you spell his name?","Is,that,seriously,how,you,spell,his,name?","I seriou spell name?"
"ham","I‘m going to try for 2 months ha ha only joking","I‘m,going,to,try,for,2,months,ha,ha,only,joking","I‘m go try 2 month ha ha jok"
"ham","So ü pay first lar... Then when is da stock comin...","So,ü,pay,first,lar...,Then,when,is,da,stock,comin...","So ü pay first lar... Then da stock comin..."
"ham","Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?","Aft,i,finish,my,lunch,then,i,go,str,down,lor.,Ard,3,smth,lor.,U,finish,ur,lunch,already?","Aft finish lunch go str lor. Ard 3 smth lor. U finish ur lunch already?"
"ham","Ffffffffff. Alright no way I can meet up with you sooner?","Ffffffffff.,Alright,no,way,I,can,meet,up,with,you,sooner?","Ffffffffff. Alright way I meet sooner?"
"ham","Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol","Just,forced,myself,to,eat,a,slice.,I'm,really,not,hungry,tho.,This,sucks.,Mark,is,getting,worried.,He,knows,I'm,sick,when,I,turn,down,pizza.,Lol","Just forc eat slice. I'm hungry tho. Thi sucks. Mark gett worried. H know I'm sick I turn pizza. Lol"
"ham","Lol your always so convincing.","Lol,your,always,so,convincing.","Lol alway convincing."
"ham","Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?","Did,you,catch,the,bus,?,Are,you,frying,an,egg,?,Did,you,make,a,tea?,Are,you,eating,your,mom's,left,over,dinner,?,Do,you,feel,my,Love,?","Did catch bu ? Ar fry egg ? Did mak tea? Ar eat mom' left dinn ? Do feel Lov ?"
"ham","I'm back &amp; we're packing the car now, I'll let you know if there's room",""I'm","back","&amp;","we're","packing","the","car","now,","I'll","let","you","know","if","there's","room"","I'm back &amp; we'r pack car now, I'll let know there' room"
"ham","Ahhh. Work. I vaguely remember that! What does it feel like? Lol","Ahhh.,Work.,I,vaguely,remember,that!,What,does,it,feel,like?,Lol","Ahhh. Work. I vagu memb that! What feel like? Lol"
"ham","Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",""Wait","that's","still","not","all","that","clear,","were","you","not","sure","about","me","being","sarcastic","or","that","that's","why","x","doesn't","want","to","live","with","us"","Wait that' still clear, sur sarcastic that' x want liv u"
"ham","Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?","Yeah,he,got,in,at,2,and,was,v,apologetic.,n,had,fallen,out,and,she,was,actin,like,spoilt,child,and,he,got,caught,up,in,that.,Till,2!,But,we,won't,go,there!,Not,doing,too,badly,cheers.,You?","Yeah got 2 v apologetic. n fallen actin lik spoilt child got caught that. Till 2! But go there! Not bad cheers. You?"
"ham","K tell me anything about you.","K,tell,me,anything,about,you.","K tell anyth you."
"ham","For fear of fainting with the of all that housework you just did? Quick have a cuppa","For,fear,of,fainting,with,the,of,all,that,housework,you,just,did?,Quick,have,a,cuppa","For fear faint housework did? Quick cuppa"
"spam","Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged","Thanks,for,your,subscription,to,Ringtone,UK,your,mobile,will,be,charged,£5/month,Please,confirm,by,replying,YES,or,NO.,If,you,reply,NO,you,will,not,be,charged","Thank scrip Rington UK mobil charg £5/month Plea confirm p YES NO. If p NO charg"
"ham","Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am","Yup...,Ok,i,go,home,look,at,the,timings,then,i,msg,ü,again...,Xuhui,going,to,learn,on,2nd,may,too,but,her,lesson,is,at,8am","Yup... Ok go hom look tim msg ü again... Xuhui go learn 2nd may lesson 8am"
"ham","Oops, I'll let you know when my roommate's done",""Oops,","I'll","let","you","know","when","my","roommate's","done"","Oops, I'll let know roommate' don"
"ham","I see the letter B on my car","I,see,the,letter,B,on,my,car","I lett B car"
"ham","Anything lor... U decide...","Anything,lor...,U,decide...","Anyth lor... U decide..."
"ham","Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!","Hello!,How's,you,and,how,did,saturday,go?,I,was,just,texting,to,see,if,you'd,decided,to,do,anything,tomo.,Not,that,i'm,trying,to,invite,myself,or,anything!","Hello! How' saturday go? I text decid anyth tomo. Not i'm try invit anything!"
"ham","Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola","Pls,go,ahead,with,watts.,I,just,wanted,to,be,sure.,Do,have,a,great,weekend.,Abiola","Pl go ahead watts. I want sure. Do great weekend. Abiola"
"ham","Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",""Did","I","forget","to","tell","you","?","I","want","you",",","I","need","you,","I","crave","you","...","But","most","of","all","...","I","love","you","my","sweet","Arabian","steed","...","Mmmmmm","...","Yummy"","Did I forget tell ? I want , I n you, I crav ... But ... I lov sweet Arabian st ... Mmmmmm ... Yummy"
"spam","07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow","07732584351,-,Rodger,Burns,-,MSG,=,We,tried,to,call,you,re,your,reply,to,our,sms,for,a,free,nokia,mobile,+,free,camcorder.,Please,call,now,08000930705,for,delivery,tomorrow","07732584351 - Rodg Burn - MSG = W tri call p sm fr nokia mobil + fr camcorder. Plea call 08000930705 delivery tomorrow"
"ham","WHO ARE YOU SEEING?","WHO,ARE,YOU,SEEING?","WHO ARE YOU SEEING?"
"ham","Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...","Great!,I,hope,you,like,your,man,well,endowed.,I,am,&lt;#&gt;,inches...","Great! I hop lik man well endowed. I &lt;#&gt; inches..."
"ham","No calls..messages..missed calls","No,calls..messages..missed,calls","No calls..messages..mi call"
"ham","Didn't you get hep b immunisation in nigeria.","Didn't,you,get,hep,b,immunisation,in,nigeria.","Didn't get hep b immunisa nigeria."
"ham","Fair enough, anything going on?",""Fair","enough,","anything","going","on?"","Fair enough, anyth go on?"
"ham","Yeah hopefully, if tyler can't do it I could maybe ask around a bit",""Yeah","hopefully,","if","tyler","can't","do","it","I","could","maybe","ask","around","a","bit"","Yeah hopefully, tyl can't I could mayb ask around t"
"ham","U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.","U,don't,know,how,stubborn,I,am.,I,didn't,even,want,to,go,to,the,hospital.,I,kept,telling,Mark,I'm,not,a,weak,sucker.,Hospitals,are,for,weak,suckers.","U know stubborn I am. I even want go hospital. I kept tell Mark I'm weak sucker. Hospit weak suckers."
"ham","What you thinked about me. First time you saw me in class.","What,you,thinked,about,me.,First,time,you,saw,me,in,class.","What think me. First tim saw class."
"ham","A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",""A","gram","usually","runs","like","&lt;#&gt;",",","a","half","eighth","is","smarter","though","and","gets","you","almost","a","whole","second","gram","for","&lt;#&gt;"","A gram usu run lik &lt;#&gt; , half eighth smart though get almost whol second gram &lt;#&gt;"
"ham","K fyi x has a ride early tomorrow morning but he's crashing at our place tonight","K,fyi,x,has,a,ride,early,tomorrow,morning,but,he's,crashing,at,our,place,tonight","K fyi x rid ear tomorrow morn he' crash plac tonight"
"ham","Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",""Wow.","I","never","realized","that","you","were","so","embarassed","by","your","accomodations.","I","thought","you","liked","it,","since","i","was","doing","the","best","i","could","and","you","always","seemed","so","happy","about","""the","cave"".","I'm","sorry","I","didn't","and","don't","have","more","to","give.","I'm","sorry","i","offered.","I'm","sorry","your","room","was","so","embarassing."","Wow. I nev aliz embara accomodations. I thought lik it, sinc b could alway seem happy ""th cave"". I'm sorry I give. I'm sorry offered. I'm sorry room embarassing."
"spam","SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV","SMS.,ac,Sptv:,The,New,Jersey,Devils,and,the,Detroit,Red,Wings,play,Ice,Hockey.,Correct,or,Incorrect?,End?,Reply,END,SPTV","SMS. ac Sptv: Th New Jersey Devil Detroit R W play Ic Hockey. Correct Incorrect? End? Rep END SPTV"
"ham","Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;","Do,you,know,what,Mallika,Sherawat,did,yesterday?,Find,out,now,@,&lt;URL&gt;","Do know Mallika Sherawat yesterday? Find @ &lt;URL&gt;"
"spam","Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",""Congrats!","1","year","special","cinema","pass","for","2","is","yours.","call","09061209465","now!","C","Suprman","V,","Matrix3,","StarWars3,","etc","all","4","FREE!","bx420-ip4-5we.","150pm.","Dont","miss","out!"","Congrats! 1 year speci cinema pa 2 yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc 4 FREE! bx420-ip4-5we. 150pm. Dont out!"
"ham","Sorry, I'll call later in meeting.",""Sorry,","I'll","call","later","in","meeting."","Sorry, I'll call lat meeting."
"ham","Tell where you reached","Tell,where,you,reached","Tell ach"
"ham","Yes..gauti and sehwag out of odi series.","Yes..gauti,and,sehwag,out,of,odi,series.","Yes..gauti sehwag odi series."
"ham","Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.","Your,gonna,have,to,pick,up,a,$1,burger,for,yourself,on,your,way,home.,I,can't,even,move.,Pain,is,killing,me.","Your gonna pick $1 burg way home. I can't even move. Pain kill me."
"ham","Ha ha ha good joke. Girls are situation seekers.","Ha,ha,ha,good,joke.,Girls,are,situation,seekers.","Ha ha ha good joke. Girl situa seekers."
"ham","Its a part of checking IQ","Its,a,part,of,checking,IQ","It part check IQ"
"ham","Sorry my roommates took forever, it ok if I come by now?",""Sorry","my","roommates","took","forever,","it","ok","if","I","come","by","now?"","Sorry roommat took forever, ok I com now?"
